,user_id,Recency_x,Frequency_x,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMClass,max_created_date,min_created_date,new_max_date,new_min_date
8961,ff2e7,2384,1,44.54000092,1,4,4,144,6/30/2018,6/30/2018,2018-06-30,2018-06-30
8962,ff4a0,2466,1,1461.81997634,2,4,1,241,4/9/2018,4/9/2018,2018-04-09,2018-04-09
8963,ff4e2,2470,1,708.5,2,4,3,243,4/5/2018,4/5/2018,2018-04-05,2018-04-05
8964,ff59a,2445,1,797.1400146,2,4,3,243,4/30/2018,4/30/2018,2018-04-30,2018-04-30
8965,ff601,2485,1,71.81999969,2,4,4,244,3/21/2018,3/21/2018,2018-03-21,2018-03-21
8966,ff629,2495,1,1112.73000347,3,4,2,342,3/11/2018,3/11/2018,2018-03-11,2018-03-11
8967,ff6e9,2499,1,1090.00001527,3,4,2,342,3/7/2018,3/7/2018,2018-03-07,2018-03-07
8968,ff77e,2505,1,71.81999969,4,4,4,444,3/1/2018,3/1/2018,2018-03-01,2018-03-01
8969,ff7c5,2500,1,1170.91001893,3,4,2,342,3/6/2018,3/6/2018,2018-03-06,2018-03-06
8970,ff7e3,2439,1,135.4499969,2,4,4,244,5/6/2018,5/6/2018,2018-05-06,2018-05-06
8971,ff9e8,2487,1,1090.0,2,4,3,243,3/19/2018,3/19/2018,2018-03-19,2018-03-19
8972,ffa75,2508,2,271.8200073,4,1,3,413,2/26/2018,2/26/2018,2018-02-26,2018-02-26
8973,ffc09,2493,1,1226.35995466,3,4,2,342,3/13/2018,3/13/2018,2018-03-13,2018-03-13
8974,ffc22,2508,1,1362.7300034,4,4,1,441,2/26/2018,2/26/2018,2018-02-26,2018-02-26
8975,ffc2e,2387,1,171.8200073,1,4,4,144,6/27/2018,6/27/2018,2018-06-27,2018-06-27
8976,ffc67,2494,1,80.91000366,3,4,4,344,3/12/2018,3/12/2018,2018-03-12,2018-03-12
8977,ffc77,2563,1,80.91000366,4,4,4,444,1/2/2018,1/2/2018,2018-01-02,2018-01-02
8978,ffcc6,2465,1,77.26999664,2,4,4,244,4/10/2018,4/10/2018,2018-04-10,2018-04-10
8979,ffcd1,2507,1,1226.35995466,4,4,2,442,2/27/2018,2/27/2018,2018-02-27,2018-02-27
8980,ffce6,2501,1,1362.7300034,3,4,1,341,3/5/2018,3/5/2018,2018-03-05,2018-03-05
8981,ffe4f,2387,1,80.91000366,1,4,4,144,6/27/2018,6/27/2018,2018-06-27,2018-06-27
8982,ffe57,2507,1,1362.7300034,4,4,1,441,2/27/2018,2/27/2018,2018-02-27,2018-02-27
8983,ffe73,2508,1,999.08998876,4,4,3,443,2/26/2018,2/26/2018,2018-02-26,2018-02-26
8984,ffef0,2463,1,797.1400146,2,4,3,243,4/12/2018,4/12/2018,2018-04-12,2018-04-12
8985,fff28,2506,1,1090.00001527,4,4,2,442,2/28/2018,2/28/2018,2018-02-28,2018-02-28
8986,fff4f,2512,1,62.72999954,4,4,4,444,2/22/2018,2/22/2018,2018-02-22,2018-02-22
8987,fff6b,2494,1,2323.64004518,3,4,1,341,3/12/2018,3/12/2018,2018-03-12,2018-03-12
8988,fff9a,2526,1,62.72999954,4,4,4,444,2/8/2018,2/8/2018,2018-02-08,2018-02-08
8989,fffd5,2509,1,244.5500031,4,4,4,444,2/25/2018,2/25/2018,2018-02-25,2018-02-25
8990,fgabr,2389,1,217.4499969,1,4,4,144,6/25/2018,6/25/2018,2018-06-25,2018-06-25
8991,fheat,2430,1,726.3599854,1,4,3,143,5/15/2018,5/15/2018,2018-05-15,2018-05-15
8992,fidel,2562,1,726.5499878,4,4,3,443,1/3/2018,1/3/2018,2018-01-03,2018-01-03
8993,figgy,2549,1,71.81999969,4,4,4,444,1/16/2018,1/16/2018,2018-01-16,2018-01-16
8994,filbe,2501,1,1112.73000347,3,4,2,342,3/5/2018,3/5/2018,2018-03-05,2018-03-05
8995,filip,2458,3,2391.40000918,2,1,1,211,4/17/2018,2/27/2018,2018-04-17,2018-02-27
8996,findc,2492,1,1112.73000347,3,4,2,342,3/14/2018,3/14/2018,2018-03-14,2018-03-14
8997,finla,2428,1,26.36000061,1,4,4,144,5/17/2018,5/17/2018,2018-05-17,2018-05-17
8998,fiona,2401,13,10736.939964899999,1,1,1,111,6/13/2018,2/3/2018,2018-06-13,2018-02-03
8999,fiore,2493,2,2670.81991552,3,1,1,311,3/13/2018,3/13/2018,2018-03-13,2018-03-13
9000,firda,2498,1,1434.55000309,3,4,1,341,3/8/2018,3/8/2018,2018-03-08,2018-03-08
9001,fireb,2503,1,271.81999970000004,3,4,3,343,3/3/2018,3/3/2018,2018-03-03,2018-03-03
9002,fishe,2487,2,1265.45001603,2,1,2,212,3/19/2018,3/13/2018,2018-03-19,2018-03-13
9003,fitzs,2555,1,53.63999939,4,4,4,444,1/10/2018,1/10/2018,2018-01-10,2018-01-10
9004,fixem,2508,1,1162.6800155800001,4,4,2,442,2/26/2018,2/26/2018,2018-02-26,2018-02-26
